DESCRIPTION,VIDEOA,VIDEOB,VIDEOC
open the book,https://s3.amazonaws.com/voxsim-videos/video/open_the_book/open_the_book-2017-03-16-104533.mp4,https://s3.amazonaws.com/voxsim-videos/video/open_the_book/open_the_book-2017-03-16-104543.mp4,https://s3.amazonaws.com/voxsim-videos/video/open_the_book/open_the_book-2017-03-16-104552.mp4
close the book,https://s3.amazonaws.com/voxsim-videos/video/close_the_book/close_the_book-2017-03-16-104538.mp4,https://s3.amazonaws.com/voxsim-videos/video/close_the_book/close_the_book-2017-03-16-104548.mp4,https://s3.amazonaws.com/voxsim-videos/video/close_the_book/close_the_book-2017-03-16-104557.mp4
close the cup,https://s3.amazonaws.com/voxsim-videos/video/close_the_cup/close_the_cup-2017-03-16-104934.mp4,https://s3.amazonaws.com/voxsim-videos/video/close_the_cup/close_the_cup-2017-03-16-104948.mp4,https://s3.amazonaws.com/voxsim-videos/video/close_the_cup/close_the_cup-2017-03-16-105002.mp4
open the cup,https://s3.amazonaws.com/voxsim-videos/video/open_the_cup/open_the_cup-2017-03-16-104941.mp4,https://s3.amazonaws.com/voxsim-videos/video/open_the_cup/open_the_cup-2017-03-16-104955.mp4,https://s3.amazonaws.com/voxsim-videos/video/open_the_cup/open_the_cup-2017-03-16-105009.mp4
close the bottle,https://s3.amazonaws.com/voxsim-videos/video/close_the_bottle/close_the_bottle-2017-03-16-105016.mp4,https://s3.amazonaws.com/voxsim-videos/video/close_the_bottle/close_the_bottle-2017-03-16-105040.mp4,https://s3.amazonaws.com/voxsim-videos/video/close_the_bottle/close_the_bottle-2017-03-16-105112.mp4
open the bottle,https://s3.amazonaws.com/voxsim-videos/video/open_the_bottle/open_the_bottle-2017-03-16-105026.mp4,https://s3.amazonaws.com/voxsim-videos/video/open_the_bottle/open_the_bottle-2017-03-16-105048.mp4,https://s3.amazonaws.com/voxsim-videos/video/open_the_bottle/open_the_bottle-2017-03-16-105125.mp4
move the block,https://s3.amazonaws.com/voxsim-videos/video/move_the_block/move_the_block-2017-03-16-133627.mp4,https://s3.amazonaws.com/voxsim-videos/video/move_the_block/move_the_block-2017-03-16-133632.mp4,https://s3.amazonaws.com/voxsim-videos/video/move_the_block/move_the_block-2017-03-16-133636.mp4
move the ball,https://s3.amazonaws.com/voxsim-videos/video/move_the_ball/move_the_ball-2017-03-16-133640.mp4,https://s3.amazonaws.com/voxsim-videos/video/move_the_ball/move_the_ball-2017-03-16-133645.mp4,https://s3.amazonaws.com/voxsim-videos/video/move_the_ball/move_the_ball-2017-03-16-133926.mp4
move the plate,https://s3.amazonaws.com/voxsim-videos/video/move_the_plate/move_the_plate-2017-03-16-133930.mp4,https://s3.amazonaws.com/voxsim-videos/video/move_the_plate/move_the_plate-2017-03-16-133934.mp4,https://s3.amazonaws.com/voxsim-videos/video/move_the_plate/move_the_plate-2017-03-16-133938.mp4
move the cup,https://s3.amazonaws.com/voxsim-videos/video/move_the_cup/move_the_cup-2017-03-16-133946.mp4,https://s3.amazonaws.com/voxsim-videos/video/move_the_cup/move_the_cup-2017-03-16-133954.mp4,https://s3.amazonaws.com/voxsim-videos/video/move_the_cup/move_the_cup-2017-03-16-134000.mp4
move the disc,https://s3.amazonaws.com/voxsim-videos/video/move_the_disc/move_the_disc-2017-03-16-134004.mp4,https://s3.amazonaws.com/voxsim-videos/video/move_the_disc/move_the_disc-2017-03-16-134008.mp4,https://s3.amazonaws.com/voxsim-videos/video/move_the_disc/move_the_disc-2017-03-16-134012.mp4
