VIDEO,DESCRIPTION1,DESCRIPTION2,DESCRIPTION3
https://s3.amazonaws.com/voxsim-videos/video/open_the_book/open_the_book-2017-03-16-104533.mp4,put the book on the block,open the book,turn the front cover
https://s3.amazonaws.com/voxsim-videos/video/close_the_book/close_the_book-2017-03-16-104538.mp4,turn the front cover,put the book touching the cup,close the book
https://s3.amazonaws.com/voxsim-videos/video/open_the_book/open_the_book-2017-03-16-104543.mp4,put the book on the knife,turn the front cover,open the book
https://s3.amazonaws.com/voxsim-videos/video/close_the_book/close_the_book-2017-03-16-104548.mp4,turn the front cover,hold the book,close the book
https://s3.amazonaws.com/voxsim-videos/video/open_the_book/open_the_book-2017-03-16-104552.mp4,put the book on the block,turn the front cover,open the book
https://s3.amazonaws.com/voxsim-videos/video/close_the_book/close_the_book-2017-03-16-104557.mp4,close the book,turn the front cover,touch the book
https://s3.amazonaws.com/voxsim-videos/video/close_the_cup/close_the_cup-2017-03-16-104934.mp4,lean the cup on the bottle,close the cup,put the disc on the cup
https://s3.amazonaws.com/voxsim-videos/video/open_the_cup/open_the_cup-2017-03-16-104941.mp4,move the disc,lean the cup on the bottle,open the cup
https://s3.amazonaws.com/voxsim-videos/video/close_the_cup/close_the_cup-2017-03-16-104948.mp4,put the cup near the bowl,put the disc on the cup,close the cup
https://s3.amazonaws.com/voxsim-videos/video/open_the_cup/open_the_cup-2017-03-16-104955.mp4,lean the cup against the bottle,move the disc,open the cup
https://s3.amazonaws.com/voxsim-videos/video/close_the_cup/close_the_cup-2017-03-16-105002.mp4,put the cup near the knife,put the disc on the cup,close the cup
https://s3.amazonaws.com/voxsim-videos/video/open_the_cup/open_the_cup-2017-03-16-105009.mp4,open the cup,move the disc,lean the cup on the knife
https://s3.amazonaws.com/voxsim-videos/video/close_the_bottle/close_the_bottle-2017-03-16-105016.mp4,spin the bottle,put the cork on the bottle,close the bottle
https://s3.amazonaws.com/voxsim-videos/video/open_the_bottle/open_the_bottle-2017-03-16-105026.mp4,open the bottle,move the cork,lean the bottle on the blackboard
https://s3.amazonaws.com/voxsim-videos/video/close_the_bottle/close_the_bottle-2017-03-16-105040.mp4,lean the bottle against the apple,put the cork on the bottle,close the bottle
https://s3.amazonaws.com/voxsim-videos/video/open_the_bottle/open_the_bottle-2017-03-16-105048.mp4,move the cork,open the bottle,spin the bottle
https://s3.amazonaws.com/voxsim-videos/video/close_the_bottle/close_the_bottle-2017-03-16-105112.mp4,put the bottle touching the paper sheet,close the bottle,put the cork on the bottle
https://s3.amazonaws.com/voxsim-videos/video/open_the_bottle/open_the_bottle-2017-03-16-105125.mp4,open the bottle,move the cork,stack the bottle and the plate
https://s3.amazonaws.com/voxsim-videos/video/move_the_block/move_the_block-2017-03-16-133627.mp4,move the block,put the block touching the block,put the block on the pencil
https://s3.amazonaws.com/voxsim-videos/video/move_the_block/move_the_block-2017-03-16-133632.mp4,lean the block on the bottle,move the block,lift the block
https://s3.amazonaws.com/voxsim-videos/video/move_the_block/move_the_block-2017-03-16-133636.mp4,stack the block and the ball,put the block in the paper sheet,move the block
https://s3.amazonaws.com/voxsim-videos/video/move_the_ball/move_the_ball-2017-03-16-133640.mp4,spin the ball,move the ball,put the ball in the bottle
https://s3.amazonaws.com/voxsim-videos/video/move_the_ball/move_the_ball-2017-03-16-133645.mp4,move the ball,flip the ball at center,lean the ball on the bowl
https://s3.amazonaws.com/voxsim-videos/video/move_the_ball/move_the_ball-2017-03-16-133926.mp4,put the ball near the ball,slide the ball,move the ball
https://s3.amazonaws.com/voxsim-videos/video/move_the_plate/move_the_plate-2017-03-16-133930.mp4,lift the plate,move the plate,stack the plate and the pencil
